Eng,Ja
green, 緑色の
argument, 議論
there, そこに
chest, むね
fact, 事実
frame, 骨組み
punishment, 処罰
peace, 和平
cheese, チーズ名詞】
whip, むち打ち
over, 上の方に
attempt, 試みる
invention, 考案
respect, 尊敬
cushion, クッション
dress, 衣服
stocking, ストッキング
request, 要求
instrument, 器具
sound, 鳴る
wire, 針金
meat, 肉
machine, 機械
make, 作る
great, 偉大な
carriage, 乗り物
distance, 引き離す
violent, 暴力的
desire, 欲しがる
international, 国際的な
spring, 春
square, 四角
behaviour, 行儀
wing, つばさ
expansion, 引き伸ばし
drawer, 引き出し
separate, 分かれた
attention, 注意
though, だが
name, 名前
information, 情報
do, する
chief, 主要な
mine, 私の
touch, タッチ
stomach, 胃
color, 色合い
error, 間違い
stem, 茎
regret, 惜しむ
