month,月
blow,吹く,噴く
orange,オレンジがかった,オレンジ色の
deep,深い
agreement,協定,一致
cotton,綿,コットン
bee,蜂,蜜蜂
tomorrow,あす,あした
key,鍵,カギ
necessary,必然的
step,段,段階,階段
sheep,ヒツジ
jelly,ゼリー化する
there,そこに,あそこで
let,させる,許す
hole,穴,くぼみ,欠点
knee,ひざ
roof,屋根,天井
why,理由
boot,ブーツ,長靴
history,歴史,記録
cook,炊事する,料理する
verse,詩節,詩句
office,オフィス,事務所
burn,燃す,焦がす
boat,小船,ボート
give,あたえる
while,期間,時間
north,北
free,自由な,無料の
position,場所,立場
please,喜ばせる,楽します
sponge,スポンジ
window,ウィンドウ,窓
harbor,港,避難所
face,顔,正面
cow,牛
as,同じように
secretary,事務官,秘書,書記
pocket,懐中,ポケット
enough,十分,たくさん
receipt,受取り,受領書,領収書
almost,ほぼ,ほとんど
balance,バランスをとる,つりあいを取る
natural,自然な,天然の
sister,姉妹,姉,妹
prison,牢屋,監獄
story,物語,お話
financial,財務上の,金融の
house,家,家庭
