pin,ピン,鋲
profit,得する,儲ける
story,物語,お話
increase,増やす,増益,増加
there,そこに,あそこで
smell,においがする,においをかぐ
window,ウィンドウ,窓
library,ライブラリ,図書館
law,法律
cloud,雲
growth,成長,生育
together,同時に,ともに
and,～と
cheap,安上がりな,安っぽい
frame,骨組み,枠組み
thunder,雷,雷鳴,咆哮
muscle,筋肉
automatic,自動的な,自動的な
office,オフィス,事務所
arch,カーブ,弯曲,アーチ
when,時期
danger,リスク,危険
train,列車
mind,気持ち,心,精神
here,ここに
important,重要な,大切な
drain,排水路,流出
west,西
condition,条件,状態
laugh,笑う,笑む
angry,怒った
sharp,するどい,俊敏な
system,システム,系統,体系
tree,木,樹木
selection,選択,より抜き
slow,遅い,ゆっくりな
balance,バランスをとる,つりあいを取る
family,家族,一族
all,すべて
rate,割合,速度
flat,フラット,平らな
information,情報
food,食べ物,栄養物
spoon,スプーン,さじ
committee,コミッティ,委員会
steam,蒸す,蒸らす
snake,ヘビ
crack,ひびわれる
act,行動する,立ち振る舞う
color,色合い,個性
