hospital,病院,ホスピタル
stem,茎,柄
brick,ブロック,レンガ
comfort,快適,なぐさめ
kiss,くちづけ
cake,ケーキ,焼き固めた食べ物
knee,ひざ
baby,ベビー,赤ん坊
common,共通の,公共の
after,～の後に,後で
first,最初に,まず
moon,月
hearing,聞くこと,聴覚
effect,結果,影響
judge,判断する,評価する
ink,インク
range,範囲
please,喜ばせる,楽します
country,国家,国民,いなか
make,作る
frame,骨組み,枠組み
name,名前
fact,事実,できごと
paste,貼りつける
almost,ほぼ,ほとんど
cord,ひも,つなぎ紐
fertile,肥えた,繁殖力のある
left,左の
sound,鳴る,響く
reaction,反応,手応え
thought,思索,考えること
thin,痩せた,細い
fixed,固定した,一定の
print,印刷,発行
public,パブリック,公的な
boat,小船,ボート
wrong,不正確な,間違った
attraction,魅力,引力
disgust,吐き気を催させる,胸を悪くさせる
healthy,健康な
automatic,自動的な,自動的な
porter,運搬人,門番
face,顔,正面
solid,固体の
chemical,化学的な
way,道,方式
tomorrow,あす,あした
note,記録,通達
great,偉大な,すごい
industry,産業,工業
