thing,モノ,物体
spring,春,泉
elastic,弾力のある
week,週
part,ある程度,一部分は
left,左の
science,科学
crush,壊れる,つぶれる
help,助ける,役立つ
stamp,スタンプ,印
smell,においがする,においをかぐ
iron,鉄,アイロン
idea,着想,アタマに浮かんだ考え,意見
profit,得する,儲ける
driving,運転
flag,旗
bee,蜂,蜜蜂
steam,蒸す,蒸らす
button,ボタン,スイッチ
power,力,権力,原動力
love,愛情
advertisement,アド,広告
at,～に,～において
push,押す
sad,残念な
prison,牢屋,監獄
laugh,笑う,笑む
dress,衣服
observation,観測,観察
net,ネット,網
fowl,家禽,鶏肉
dirty,汚れた
sharp,するどい,俊敏な
arch,カーブ,弯曲,アーチ
foot,足
shame,恥,恥ずかしさ
about,～について,ざっと
payment,入金,払出
blue,青い
insect,虫,昆虫
send,送る
copy,コピー,再現,複製
attack,攻める,取り掛かる
jelly,ゼリー化する
cord,ひも,つなぎ紐
clear,明るい,澄んだ
simple,シンプルな,単純な
nose,鼻
basin,洗面器,水たまり
slip,すべる,すべらせる
