organization,設立,組織
brush,ブラシ,刷毛,小競り合い
normal,正常な,標準の,一般的な
act,行動する,立ち振る舞う
shake,振る,ゆり動かす
rail,横木,柵,レール,鉄道
stage,区間,舞台
bone,骨
sand,砂
by,～のそばで,～によって
tray,お盆,トレー
porter,運搬人,門番
amount,量,計測した大きさ
debt,負債,借り
yes,肯定的な返答
bath,入浴,風呂
hammer,ハンマー,鎚
amusement,楽しみ,エンターテインメント
such,こんな,これほど,しばしば
blood,血液,気質
get,受け取る,手に入れる
connection,結びつき,関係
color,色合い,個性
tight,窮屈な
oil,オイル,油
quite,すっかり,全く
hearing,聞くこと,聴覚
pen,ペン,筆記用具
base,基礎づける,基づく
slip,すべる,すべらせる
here,ここに
female,牝,雌,メス
value,価値,評価
knot,結ぶ
judge,判断する,評価する
conscious,気づいて,意識して
turn,回転させる,まわす,ひねる
responsible,責任がある
edge,刃,境界
breath,呼吸,息
leg,脚,区間
surprise,驚き
ticket,チケット,券
drink,飲む
representative,代表する
song,歌,歌唱
worm,虫,いも虫
man,人間,男性
secret,秘密の
in,中に,内側に
