sun,太陽
idea,着想,アタマに浮かんだ考え,意見
owner,持主
comfort,快適,なぐさめ
mobile,モバイル
monkey,さる
second,第2に,次に
whistle,口笛,ホイッスル
receipt,受取り,受領書,領収書
increase,増やす,増益,増加
sock,ぶん殴る
theory,理論,学説
blow,吹く,噴く
quite,すっかり,全く
push,押す
hearing,聞くこと,聴覚
nail,つめ
keep,保つ,保存する
private,秘密の
father,父親
low,低い
cough,せき
oil,オイル,油
very,とても,いとも,いっそう
brown,茶色い
waste,浪費する,無駄にする
wound,負傷,痛手
be,ある,存在する
example,見本,例題
limit,制約,押さえる
shame,恥,恥ずかしさ
rhythm,リズム,拍子
religion,信仰,信条
support,支える,支持する
peace,和平,安らぎ
have,持っている,身につけている
distance,引き離す
meat,肉,中身
orange,オレンジがかった,オレンジ色の
berry,ベリー,いちご
ring,鳴り響く,電話をかける
on,うえに
