financial,財務上の,金融の
at,～に,～において
line,線
chest,むね,箱
window,ウィンドウ,窓
wood,樹木,木材
scissors,はさみ
water,水
cotton,綿,コットン
enough,十分,たくさん
hard,必死に
person,個人,人間
smash,打ち付ける,打ち壊す
second,第2に,次に
father,父親
laugh,笑う,笑む
space,スペース,空間
interest,気晴らし,興味,関心事
public,パブリック,公的な
chief,主要な,重要な
from,～から
road,道筋,道路
gun,銃
shelf,棚
collar,エリ,襟飾り
equal,等しい,均等な
work,労働,訓練
edge,刃,境界
shade,影,傘,濃淡
hat,帽子
star,星
observation,観測,観察
up,上方へ,上向きに
plant,植物,草木
hospital,病院,ホスピタル
vessel,容器,船舶
porter,運搬人,門番
minute,分,1分
paper,紙
cord,ひも,つなぎ紐
reaction,反応,手応え
tooth,歯
brake,歯止め,ブレーキ
before,先に,前に
language,言語
have,持っている,身につけている
stiff,こわばった
ready,準備のできた
play,遊ぶ,試合する,演奏する
news,ニュース,報道
