nail,つめ
automatic,自動的な,自動的な
discussion,話し合い,ディスカッション
copy,コピー,再現,複製
wash,洗う
hair,毛,髪の毛
almost,ほぼ,ほとんど
history,歴史,記録
gold,黄金,ゴールド
move,動く
jump,跳躍する,ジャンプ
needle,はり
turn,回転させる,まわす,ひねる
from,～から
plant,植物,草木
spring,春,泉
representative,代表する
ball,球,ボール
bag,ふくろ,かばん
quite,すっかり,全く
example,見本,例題
lip,くちびる
metal,メタリック,金属的
branch,枝,枝分れ
level,水平になる,水平飛行に移る
impulse,衝動,刺激,推進力
again,さらに,またまた
grip,取っ手,握ること
feeling,感じ,気持
family,家族,一族
form,形姿,外形,形
comparison,比較
solid,固体の
well,よく
fly,飛ぶ
carriage,乗り物,車両
down,下に,下へ
whip,むち打ち
force,勢い,力
secret,秘密の
shock,ショック,衝撃
face,顔,正面
thin,痩せた,細い
vessel,容器,船舶
floor,床,階
teaching,教え,教育,指導
because,なぜなら
structure,構造,建築物
top,てっぺん
blood,血液,気質
