burst,爆発,破裂
smooth,なめらかな,穏やか
iron,鉄,アイロン
rule,ルール,規則
road,道筋,道路
finger,指
grip,取っ手,握ること
map,地図
among,～の間に,～の中で
lift,持ち上げる
picture,絵,写真
no,いいえ,なにも
back,以前に,昔に
advertisement,アド,広告
possible,ありうる,潜在的
respect,尊敬,評価
cheese,チーズ名詞】
take,取る,つかむ
rat,ネズミ
flower,花を咲かす
cat,ネコ
tooth,歯
gold,黄金,ゴールド
wood,樹木,木材
net,ネット,網
pull,引っぱる
blue,青い
example,見本,例題
offer,提供する,提案する
engine,エンジン,発動機
poison,毒
even,均等な,同じの
argument,議論,主張
art,芸術,工芸
play,遊ぶ,試合する,演奏する
probable,ありそうな
development,発展,開発
male,男性,オス
throat,のど
brother,兄,弟,兄弟
attempt,試みる,企てる
book,本
store,商店
pleasure,喜び,快楽
crime,犯罪
light,明るい,明らか
acid,すっぱい,酸味がある
poor,貧乏な,貧弱な
disease,不快な状態,病気
harmony,調和,ハーモニー
