unit,単一体,集合体,単位,部隊
page,ページ
glove,手袋,グローブト
company,付添い,会社
food,食べ物,栄養物
make,作る
enough,十分,たくさん
steam,蒸す,蒸らす
pen,ペン,筆記用具
needle,はり
name,名前
statement,述べる,声明
harmony,調和,ハーモニー
feather,羽,羽毛
short,短い
material,実質的,物質的
test,テスト
ever,つねに,いつも
say,言う,話す,命ずる
then,それから,続いて,その次に
request,要求,頼む
mark,目印,目標
put,置く
design,計画,設計,デザイン
earth,地球,大地
even,均等な,同じの
bell,ベル,鐘
at,～に,～において
wire,針金,電線
back,以前に,昔に
act,行動する,立ち振る舞う
yesterday,昨日
island,島
between,中間に,間に
powder,粉,粉末
porter,運搬人,門番
fish,魚
cushion,クッション,緩衝材
lead,導く,誘導
in,中に,内側に
dear,親愛な,かわいい
free,自由な,無料の
tomorrow,あす,あした
near,ほぼ,ほとんど
wise,かしこい才
open,開いた,あいた
train,列車
offer,提供する,提案する
fold,折りたたむ,巻きつける
burst,爆発,破裂
