history,歴史,記録
flag,旗
cover,おおう,かぶせる
impulse,衝動,刺激,推進力
learning,修得,学習
stiff,こわばった
but,しかし
every,あらゆる
swim,泳ぎ,水泳
amount,量,計測した大きさ
answer,答える,解答
middle,中位
steam,蒸す,蒸らす
part,ある程度,一部分は
change,変質,変化
smoke,煙を出す,タバコを吸う
bite,かみつく
pen,ペン,筆記用具
insurance,保険,備え
sort,分類する,整列させる
true,正確な
male,男性,オス
prose,散文
also,もまた
business,シゴト,事業
dog,犬
chance,賭け,チャンス,機会
boot,ブーツ,長靴
bird,鳥
foolish,おろかな
balance,バランスをとる,つりあいを取る
level,水平になる,水平飛行に移る
mountain,山,山岳
key,鍵,カギ
hammer,ハンマー,鎚
clear,明るい,澄んだ
hope,実現させたいと願う
tall,高い
blood,血液,気質
against,反抗して,逆らって
nuts,木の実
space,スペース,空間
across,横切った,横に
discussion,話し合い,ディスカッション
other,ほかの
beautiful,美しい,きれいな
comfort,快適,なぐさめ
loud,うるさい
opinion,意見,持論
oven,天火,オーブン
