earth,地球,大地
bite,かみつく
clean,きれいな,清潔な
shirt,シャツ
land,土地,地面
station,駅
debt,負債,借り
thin,痩せた,細い
mass,大きな塊,集団
bulb,球状のもの,電球
boiling,煮えた,ゆでた
almost,ほぼ,ほとんど
cushion,クッション,緩衝材
fowl,家禽,鶏肉
industry,産業,工業
seat,着席させる
dirty,汚れた
reward,報いる
minute,分,1分
amusement,楽しみ,エンターテインメント
rule,ルール,規則
narrow,せまい
under,～の下に
key,鍵,カギ
start,開始,着手
crush,壊れる,つぶれる
trade,交換
talk,話す,演説する
full,いっぱいの
wrong,不正確な,間違った
poor,貧乏な,貧弱な
grass,芝生,牧草
may,してもいい,かもしれない
mark,目印,目標
stitch,ぬい合わせる
give,あたえる
hour,時間,60分
competition,競争,競技
any,なんらか,いくらか,少しは
nail,つめ
through,から
first,最初に,まず
brown,茶色い
blood,血液,気質
touch,タッチ,接触
trick,いたずら,たくらみ
work,労働,訓練
authority,権威,認可
substance,物質,実体,中身
property,所有物,不動産,特性
