Eng,Ja
taste, 味覚
here, ここに
day, 昼間
quiet, 静かな
mouth, 口
boy, 男の子
slope, 傾ける
tail, 尻尾
different, 変わった
cord, ひも
cart, カート
wood, 樹木
drink, 飲む
flight, 飛行
heat, 暖める
exchange, 取り替える
regular, 普通の
chance, 賭け
neck, 首
measure, 計測する
point, 点
wool, 羊毛
back, 以前に
dress, 衣服
economic, 経済
dark, 暗い
number, 数
complex, 複雑な
news, ニュース
glass, ガラス
ticket, チケット
tongue, 舌
death, 絶命
insect, 虫
play, 遊ぶ
almost, ほぼ
color, 色合い
stocking, ストッキング
animal, 動物
danger, リスク
strange, 奇妙な
rat, ネズミ
near, ほぼ
turn, 回転させる
special, 特別の
arm, 武装
sex, 性別
tendency, 傾向
south, 南
oil, オイル
clock, 計時
flower, 花を咲かす
equal, 等しい
bone, 骨
daughter, 娘
stop, ストップ
morning, 朝
memory, 記憶
sun, 太陽
discovery, 発見
pain, 痛み
grip, 取っ手
slow, 遅い
ice, 氷
whistle, 口笛
mountain, 山
vessel, 容器
probable, ありそうな
bite, かみつく
wing, つばさ
small, 小さい
flat, フラット
light, 明るい
shade, 影
market, 市場
arch, カーブ
company, 付添い
list, 挙げる
roll, 転がる
solid, 固体の
bag, ふくろ
automatic, 自動的な
existence, 存在
hat, 帽子
round, まるい
machine, 機械
yellow, 黄色い
false, 間違った
milk, 牛乳
argument, 議論
garden, 庭いじりをする
place, 場所
limit, 制約
chief, 主要な
wax, ロウ
potato, ジャガイモ
deep, 深い
crack, ひびわれる
shake, 振る
till, ～まで
jump, 跳躍する
social, 社会
net, ネット
history, 歴史
important, 重要な
steam, 蒸す
building, 建設
elastic, 弾力のある
breath, 呼吸
farm, 農場
mass, 大きな塊
glove, 手袋
snake, ヘビ
carriage, 乗り物
star, 星
dust, 散らかす
order, 配列
frequent, よくある
behaviour, 行儀
boot, ブーツ
thread, 糸
water, 水
level, 水平になる
spring, 春
rub, こする
any, なんらか
instrument, 器具
idea, 着想
trousers, ズボン
far, はるかに
error, 間違い
note, 記録
shock, ショック
nuts, 木の実
wave, 波
true, 正確な
smell, においがする
sharp, するどい
broken, 壊れた
happy, しあわせな
blood, 血液
into, (入った)中に
size, サイズ
account, 説明
cheap, 安上がりな
sign, 記号
damage, そこなう
loss, 敗北
science, 科学
adjustment, 手直し
step, 段
train, 列車
design, 計画
feeble, 弱々しい
iron, 鉄
meeting, 集まり
much, ほぼ
view, 視野
discussion, 話し合い
industry, 産業
smoke, 煙を出す
burst, 爆発
thick, 濃い
fertile, 肥えた
road, 道筋
act, 行動する
cheese, チーズ名詞】
parallel, 平行な
off, ～から離れて
moon, 月
fight, ファイト
fowl, 家禽
international, 国際的な
while, 期間
knee, ひざ
book, 本
plant, 植物
thunder, 雷
like, 同じような
together, 同時に
slip, すべる
wet, ぬれた
bath, 入浴
forward, 前に
disgust, 吐き気を催させる
mixed, まざった
sister, 姉妹
fly, 飛ぶ
after, ～の後に
meat, 肉
let, させる
addition, 付け足し
process, 過程
library, ライブラリ
brown, 茶色い
right, 正確な
shame, 恥
stomach, 胃
song, 歌
under, ～の下に
reason, 推論
rain, 雨が降る
reading, 読み取り
than, ～よりも
electric, 電気の
enough, 十分
information, 情報
every, あらゆる
yes, 肯定的な返答
desire, 欲しがる
crush, 壊れる
sea, 海
have, 持っている
nerve, 神経
even, 均等な
seem, 見える
wall, カベ
living, 生きている
skin, ひふ
burn, 燃す
sock, ぶん殴る
same, 同じ
flag, 旗
hanging, つりさげ
natural, 自然な
may, してもいい
flame, 火炎
house, 家
fruit, くだもの
birth, 生みだす
porter, 運搬人
political, 政治的な
selection, 選択
little, わずか
sand, 砂
person, 個人
destruction, 撃滅
knowledge, 知識
knife, ナイフ
if, もしも
cry, めそめそする
last, 臨終の
street, ストリート
frame, 骨組み
bucket, バケツ
pin, ピン
copper, 銅
now, 今
mine, 私の
apple, リンゴ
base, 基礎づける
other, ほかの
hook, 鉤
run, 走る
egg, 卵
pen, ペン
be, ある
kettle, 湯わかし
end, 終える
purpose, 目的
sugar, さとう
quality, 品質
connection, 結びつき
business, シゴト
stem, 茎
thin, 痩せた
good, 良い
foot, 足
unit, 単一体
hate, うらむ
muscle, 筋肉
cover, おおう
wire, 針金
waiting, 待ち時間
plane, 平ら
when, 時期
get, 受け取る
field, 野原
test, テスト
verse, 詩節
complete, 完全な
open, 開いた
drain, 排水路
window, ウィンドウ
oven, 天火
decision, 判断
angry, 怒った
ill, 不完全な
voice, 声
request, 要求
body, 本体
quick, 素早い
organization, 設立
mind, 気持ち
receipt, 受取り
servant, 使用人
parcel, 小包
part, ある程度
soup, スープ
leg, 脚
very, とても
push, 押す
reward, 報いる
poison, 毒
expert, 専門家
lip, くちびる
sneeze, くしゃみをする
silver, 銀
finger, 指
please, 喜ばせる
sleep, 眠る
lock, かぎ
nail, つめ
against, 反抗して
ship, 船
square, 四角
teaching, 教え
fall, 落ちる
price, 価格
free, 自由な
tree, 木
belief, 印象
left, 左の
branch, 枝
shelf, 棚
wound, 負傷
silk, 絹糸
collar, エリ
bell, ベル
already, すでに
bad, ひどい
effect, 結果
cultivate, 耕す
lead, 導く
at, ～に
wash, 洗う
gold, 黄金
harmony, 調和
sad, 残念な
change, 変質
punishment, 処罰
between, 中間に
for, ～のために
bed, ベッド
join, 交わる
nation, 国家
present, 現在の
drop, しずく
hair, 毛
hole, 穴
fish, 魚
word, 言葉
kick, 蹴り
kind, 親切な
in, 中に
tray, お盆
ant, アリ
stick, ステッキ
current, 流れ
increase, 増やす
pocket, 懐中
learning, 修得
salt, 塩
dog, 犬
weather, 天気
past, 通り越して
system, システム
debt, 負債
umbrella, かさ
and, ～と
laugh, 笑う
give, あたえる
shoe, くつ
band, しばるもの
protest, 断言する
beautiful, 美しい
position, 場所
violent, 暴力的
future, 未来の形容詞】
worm, 虫
responsible, 責任がある
feather, 羽
money, 硬貨
thought, 思索
cat, ネコ
front, 正面
middle, 中位
military, 軍事的な
transport, 運輸
division, 分割
bulb, 球状のもの
sheep, ヒツジ
dirty, 汚れた
summer, 夏
do, する
box, 箱
peace, 和平
green, 緑色の
fat, 太った
comb, クシ
fork, フォーク
black, 黒い
bottle, ビン
top, てっぺん
manager, 管理職
basket, かご
brick, ブロック
see, 見る
out, 外に
paper, 紙
father, 父親
common, 共通の
question, 問いただす
there, そこに
ink, インク
engine, エンジン
power, 力
curtain, カーテン
wrong, 不正確な
jewel, 宝石
before, 先に
smile, ほほ笑む
bee, 蜂
baby, ベビー
invention, 考案
floor, 床
go, 行く
tooth, 歯
blow, 吹く
horse, 馬
law, 法律
pleasure, 喜び
chin, アゴ
camera, カメラ
such, こんな
seat, 着席させる
cough, せき
stage, 区間
island, 島
soap, せっけん
observation, 観測
art, 芸術
chemical, 化学的な
offer, 提供する
produce, 生産する
physical, 物理的
how, 方法
operation, 運転
thumb, おやゆび
space, スペース
payment, 入金
work, 労働
friend, 友達
data, データ
strong, 力強い
mobile, モバイル
force, 勢い
first, 最初に
love, 愛情
care, 整備
value, 価値
example, 見本
secret, 秘密の
opposite, 向かい合わせの
root, 根っこ
scissors, はさみ
tax, 課税
world, 世界
development, 発展
control, 制御する
ball, 球
amount, 量
wide, 幅広い
copy, コピー
wind, 風
river, 川
record, レコード
need, 動機
no, いいえ
insurance, 保険
president, 大統領
berry, ベリー
motion, 動き
grain, 穀物
match, 試合
yesterday, 昨日
statement, 述べる
across, 横切った
trick, いたずら
or, または
substance, 物質
because, なぜなら
dead, 枯れた
man, 人間
dry, 乾いた
whip, むち打ち
representative, 代表する
long, 長い
up, 上方へ
full, いっぱいの
use, 使う
new, 新しい
mark, 目印
possible, ありうる
cushion, クッション
store, 商店
basin, 洗面器
pig, ぶた
credit, 信用
about, ～について
swim, 泳ぎ
serious, まじめな
property, 所有物
monkey, さる
orange, オレンジがかった
from, ～から
snow, 雪が降る
hope, 実現させたいと願う
nose, 鼻
conscious, 気づいて
sweet, 優しい
weight, 重さ
accordingto, ～によれば
angle, 角度
circle, 一回り
second, 第2に
all, すべて
narrow, せまい
necessary, 必然的
ready, 準備のできた
powder, 粉
cut, カットされた
agreement, 協定
support, 支える
cause, 原因
cold, 冷たい
say, 言う
again, さらに
early, 早い
put, 置く
way, 道
detail, 詳しく述べる
fixed, 固定した
roof, 屋根
stamp, スタンプ
trade, 交換
suggestion, 提案
red, 赤い
edge, 刃
female, 牝
metal, メタリック
humor, ユーモア
watch, 時計
move, 動く
clean, きれいな
woman, 女性
rod, 棒
eye, 目
start, 開始
shut, 閉じた
meal, 食事
paste, 貼りつける
hammer, ハンマー
school, 学校
on, うえに
knot, 結ぶ
fire, 焼く
low, 低い
attention, 注意
crime, 犯罪
side, 片面
also, もまた
harbor, 港
of, ～の
son, 息子
land, 土地
tin, スズ
profit, 得する
name, 名前
ray, 光線
by, ～のそばで
month, 月
bitter, 苦い
over, 上の方に
polish, 磨る
experience, 経験
certain, 確かな
impulse, 衝動
stitch, ぬい合わせる
smash, 打ち付ける
feeling, 感じ
town, 町
distribution, 配布
wise, かしこい才
needle, はり
cow, 牛
condition, 条件
rhythm, リズム
cruel, 無情な
pipe, パイプ
coat, コート
spade, スペード
prose, 散文
distance, 引き離す
family, 家族
keep, 保つ
warm, 暖める
come, 訪れる
curve, 曲がる
sound, 鳴る
bridge, 橋
blade, 刃物
healthy, 健康な
acid, すっぱい
competition, 競争
key, 鍵
simple, シンプルな
thing, モノ
chain, くさり
story, 物語
door, 扉
though, だが
smooth, なめらかな
hearing, 聞くこと
soft, 柔らかな
only, ただひとり
sky, 空
poor, 貧乏な
ear, 耳
tall, 高い
fold, 折りたたむ
prison, 牢屋
range, 範囲
blue, 青い
event, できごと
touch, タッチ
tomorrow, あす
boiling, 煮えた
chest, むね
winter, 冬
authority, 権威
horn, 角
respect, 尊敬
awake, 覚めた
medical, 医療
pull, 引っぱる
old, 古い
comfort, 快適
attraction, 魅力
mother, 母親
down, 下に
public, パブリック
through, から
relation, 結付き
cloth, 生地
opinion, 意見
around, 周りに
stone, 石
look, 見える
air, 空気
as, 同じように
help, 助ける
pot, つぼ
room, 部屋
waste, 浪費する
pencil, 鉛筆
brush, ブラシ
sticky, 粘っこい
picture, 絵
sail, 帆
hand, 手
financial, 財務上の
why, 理由
bent, まがった
country, 国家
degree, レベル
cook, 炊事する
lift, 持ち上げる
answer, 答える
rail, 横木
west, 西
advertisement, アド
wheel, 車輪
steel, 鋼鉄
earth, 地球
walk, 歩く
seed, たね
straight, まっすぐな
but, しかし
young, 若い
general, 世間一般の
able, 可能な
cup, コップ
private, 秘密の
writing, 作文
sense, 感覚
letter, 便り
hospital, 病院
direction, 舵取り
cotton, 綿
brother, 兄
rule, ルール
cake, ケーキ
brake, 歯止め
expansion, 引き伸ばし
committee, コミッティ
bright, 明々と
religion, 信仰
twist, ひねる
board, 板
where, 場所
still, 静かな
language, 言語
hour, 時間
page, ページ
tight, 窮屈な
girl, 令嬢
night, 夜
quite, すっかり
attempt, 試みる
theory, 理論
mist, 霧
throat, のど
ring, 鳴り響く
scale, 目盛り
guide, 案内する
education, 教育
army, 軍団
time, 時
head, アタマ
disease, 不快な状態
