natural,自然な,天然の
measure,計測する,基準に照らして判断する
by,～のそばで,～によって
sand,砂
scissors,はさみ
front,正面,前面
person,個人,人間
industry,産業,工業
acid,すっぱい,酸味がある
boiling,煮えた,ゆでた
quick,素早い,早い
pocket,懐中,ポケット
through,から
fertile,肥えた,繁殖力のある
to,～へ
fold,折りたたむ,巻きつける
jewel,宝石
room,部屋
hospital,病院,ホスピタル
worm,虫,いも虫
boot,ブーツ,長靴
cup,コップ
in,中に,内側に
suggestion,提案
oil,オイル,油
current,流れ,水流,電流
paste,貼りつける
moon,月
window,ウィンドウ,窓
space,スペース,空間
please,喜ばせる,楽します
memory,記憶,記憶力
pull,引っぱる
page,ページ
regular,普通の,いつもの
breath,呼吸,息
limit,制約,押さえる
still,静かな,静止した
thread,糸
potato,ジャガイモ
price,価格,代償
fire,焼く
mind,気持ち,心,精神
brake,歯止め,ブレーキ
feeble,弱々しい,かすかな
tongue,舌
possible,ありうる,潜在的
young,若い
harmony,調和,ハーモニー
umbrella,かさ
