event,できごと,イベント
healthy,健康な
chest,むね,箱
mother,母親
curve,曲がる
attraction,魅力,引力
chain,くさり
bridge,橋,橋渡し
blade,刃物,ひげそり
competition,競争,競技
poor,貧乏な,貧弱な
winter,冬
only,ただひとり,ただひとつ
warm,暖める
authority,権威,認可
respect,尊敬,評価
door,扉,門戸
come,訪れる,来る
sound,鳴る,響く
touch,タッチ,接触
pull,引っぱる
acid,すっぱい,酸味がある
blue,青い
ear,耳
fold,折りたたむ,巻きつける
boiling,煮えた,ゆでた
old,古い
hearing,聞くこと,聴覚
prose,散文
comfort,快適,なぐさめ
family,家族,一族
keep,保つ,保存する
tomorrow,あす,あした
distance,引き離す
simple,シンプルな,単純な
key,鍵,カギ
medical,医療
sky,空
spade,スペード,スコップ,ショベル
smooth,なめらかな,穏やか
coat,コート,外套
tall,高い
range,範囲
prison,牢屋,監獄
though,だが,そうはいうものの
soft,柔らかな
awake,覚めた
story,物語,お話
horn,角
thing,モノ,物体
