curtain,カーテン,幕
bite,かみつく
voice,声
damage,そこなう,傷める
land,土地,地面
keep,保つ,保存する
harbor,港,避難所
financial,財務上の,金融の
organization,設立,組織
against,反抗して,逆らって
how,方法
scale,目盛り,ものさし,段階
hair,毛,髪の毛
seem,見える,思える
clear,明るい,澄んだ
tin,スズ,ブリキ
tight,窮屈な
bee,蜂,蜜蜂
full,いっぱいの
comfort,快適,なぐさめ
growth,成長,生育
loose,なまけた
though,だが,そうはいうものの
dear,親愛な,かわいい
hollow,空っぽな,へこんだ
cook,炊事する,料理する
brain,頭脳
no,いいえ,なにも
light,明るい,明らか
stamp,スタンプ,印
porter,運搬人,門番
brick,ブロック,レンガ
mist,霧,かすみ
star,星
soft,柔らかな
pot,つぼ,鉢
teaching,教え,教育,指導
conscious,気づいて,意識して
farm,農場
color,色合い,個性
print,印刷,発行
some,いくつかの
soap,せっけん,洗剤
while,期間,時間
eye,目
floor,床,階
be,ある,存在する
garden,庭いじりをする
fall,落ちる
news,ニュース,報道
