fixed,固定した,一定の
guide,案内する,手引きする
line,線
war,戦争
powder,粉,粉末
dear,親愛な,かわいい
animal,動物
wine,ワイン
wound,負傷,痛手
warm,暖める
sea,海
blow,吹く,噴く
fish,魚
through,から
kind,親切な
need,動機,必要性
force,勢い,力
week,週
hour,時間,60分
front,正面,前面
dust,散らかす
blade,刃物,ひげそり
division,分割,分裂
owner,持主
competition,競争,競技
burn,燃す,焦がす
no,いいえ,なにも
reason,推論,理由
winter,冬
profit,得する,儲ける
peace,和平,安らぎ
leg,脚,区間
baby,ベビー,赤ん坊
equal,等しい,均等な
stick,ステッキ,杖
loss,敗北
together,同時に,ともに
waste,浪費する,無駄にする
credit,信用,業績
representative,代表する
shut,閉じた
mouth,口
family,家族,一族
support,支える,支持する
wood,樹木,木材
safe,安全な,安心の
berry,ベリー,いちご
language,言語
range,範囲
cat,ネコ
