small,小さい
burn,燃す,焦がす
observation,観測,観察
authority,権威,認可
rhythm,リズム,拍子
to,～へ
week,週
about,～について,ざっと
statement,述べる,声明
mountain,山,山岳
agreement,協定,一致
dry,乾いた
attack,攻める,取り掛かる
mist,霧,かすみ
fight,ファイト,戦い
such,こんな,これほど,しばしば
pencil,鉛筆
wood,樹木,木材
water,水
relation,結付き,関係
snow,雪が降る
light,明るい,明らか
east,東
shake,振る,ゆり動かす
ant,アリ
feeble,弱々しい,かすかな
river,川
parcel,小包
metal,メタリック,金属的
impulse,衝動,刺激,推進力
across,横切った,横に
chief,主要な,重要な
powder,粉,粉末
lead,導く,誘導
animal,動物
voice,声
drink,飲む
collar,エリ,襟飾り
shame,恥,恥ずかしさ
land,土地,地面
station,駅
discussion,話し合い,ディスカッション
property,所有物,不動産,特性
elastic,弾力のある
blow,吹く,噴く
beautiful,美しい,きれいな
gold,黄金,ゴールド
orange,オレンジがかった,オレンジ色の
wire,針金,電線
nose,鼻
