after,～の後に,後で
possible,ありうる,潜在的
light,明るい,明らか
if,もしも
rub,こする,摩擦する
payment,入金,払出
deep,深い
wash,洗う
still,静かな,静止した
against,反抗して,逆らって
color,色合い,個性
top,てっぺん
chain,くさり
agreement,協定,一致
end,終える,打ち切る
lead,導く,誘導
current,流れ,水流,電流
key,鍵,カギ
touch,タッチ,接触
ticket,チケット,券
girl,令嬢,娘
bed,ベッド,寝床
head,アタマ
store,商店
gray,灰色の
pig,ぶた
leg,脚,区間
horse,馬
sweet,優しい,あまい
fear,恐怖,恐れ
feeble,弱々しい,かすかな
chance,賭け,チャンス,機会
cultivate,耕す,鋤く
cut,カットされた,切り詰めた
yellow,黄色い
brother,兄,弟,兄弟
curve,曲がる
safe,安全な,安心の
quality,品質
example,見本,例題
level,水平になる,水平飛行に移る
structure,構造,建築物
down,下に,下へ
month,月
military,軍事的な
condition,条件,状態
time,時,年月
bee,蜂,蜜蜂
coat,コート,外套
hour,時間,60分
